# Sparse Matrix (Morse)  0x21b5ec30
# first line: n m (is symmetic) nnz 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
5034 5034 0  34598
        1         1 0.018310546875000003469
        1         4 0.0091552734375000017347
        1         5 0.0091552734375000017347
        2         2 0.041503909906623490111
        2         3 0.0073242192752331920086
        2         5 0.0061035161127165355605
        2         6 0.013427735678078553047
        2         7 0.014648438840595209495
        3         2 0.0073242192752331920086
        3         3 0.039062502361048190291
        3         7 0.013427735067807568259
        3         8 0.012207031905290911811
        3         9 0.006103516112716532091
        4         1 0.0091552734375000017347
        4         4 0.048828124699866748415
        4         5 0.018310546837483340082
        4        10 0.0061035155124500323903
        4        11 0.015258788912433374207
        5         1 0.0091552734375000034694
        5         2 0.0061035161127165355605
        5         4 0.018310546837483340082
        5         5 0.06103515627501109736
        5         6 0.012207031300022212067
        5        11 0.015258788587289021793
        6         2 0.013427735678078553047
        6         5 0.012207031300022212067
        6         6 0.067138673410681803944
        6         7 0.015258790005418647676
        6        11 0.012207030587205727409
        6        12 0.014038085839956677622
        7         2 0.014648438840595207761
        7         3 0.013427735067807568259
        7         6 0.015258790005418647676
        7         7 0.090535483158949631166
        7         8 0.013834634978972332187
        7        12 0.016784667759907282575
        7        13 0.016581216506248608322
        8         3 0.012207031905290911811
        8         7 0.013834634978972333921
        8         8 0.078822545228831558672
        8         9 0.012207032416589356366
        8        13 0.014561243205175117971
        8        16 0.013369605218854095988
        8        18 0.012642997503949758228
        9         3 0.006103516112716532091
        9         8 0.012207032416589356366
        9         9 0.037493027374466608714
        9        17 0.0065394812706439540625
        9        18 0.012642997574516774001
       10         4 0.0061035155124500323903
       10        10 0.053710935629169398453
       10        11 0.015869140252334549418
       10        15 0.010986327562250156747
       10        22 0.020751952302134665101
       11         4 0.015258788912433375942
       11         5 0.015258788587289020058
       11         6 0.012207030587205727409
       11        10 0.015869140252334552887
       11        11 0.089111326119109449118
       11        12 0.013427734219931160287
       11        22 0.017089843559915628146
       12         6 0.014038085839956675888
       12         7 0.016784667759907279105
       12        11 0.013427734219931158552
       12        12 0.080566405439640206843
       12        13 0.013427734019842318958
       12        22 0.012817382860021106841
       12        23 0.010070800739981670968
